Date,Author Name,Vertical,Headline,Description
"  Nov 1, 2020, 00:00 IST",Vinay Lokesh,Entertainment,Chethan Chandra will be seen in a travel-based musical next,"After he was last seen on the silver screen in the film Jaathre, actor Chethan Chandra had forayed into television with the daily soap Satyan Shivam Sundaram, which aired for a couple of years. This move, he says was to help him fine tune his acting prowess. But in the time since that show wound up, Chetan has been looking at cinema with a renewed vigour. The actor, who recently finished a film called Shardoola, has signed up for another to be directed by debutant filmmaker Agni.

“It is a travel-based musical love story, which I believe will be refreshing to watch. I have to change my look to play Akash, a music lover, in the film. Although it’s only a journey from Bengaluru to Madikeri, we are looking at showcasing some hitherto unexplored locations in that region. Also, the treatment of the love story is rather novel, which is why I decided to take up this film. The team recently conducted a script puja and we should be able to go on floors soon,” says Chetan.


So, has he bid adieu to television? “Yes. The brief stint in TV was intentional. After doing 10 films, a daily soap was quite a different experience, which got me a whole new fan base. But now, I want to focus only on films,” says Chetan."
"  Nov 1, 2020, 00:00 IST",,Entertainment,I am not an actress who is insecure about my screen time: Shriya,"Shriya Pilgaonkar loves animals. And her most favourite one happens to be the elephant. When she was shooting for Gurinder Chadha’s British series Beecham House, one of her co-actors, Lesley Nicols, who knew of her love for the pachyderm, got her a poster of the majestic beast from an elephant orphanage. That elephant’s name was also the same as the character she played in that series. She put up that poster on her bedroom wall. It was the first thing she’d see when she opened her eyes in the morning!
So, when an opportunity to act in Kaadan, a film that revolves around elephants, came her way, Shriya could hardly dismiss that as coincidence. “I took it as a sign that this was meant to happen,” begins the actress, who played one of the female leads in Shah Rukh Khan’s Fan.

It also helped that the subject resonated with her. “It is very relevant today when we are talking about sustainability and living in balance with nature. I felt it was very beautiful to tell a story that’s inspired by a man who is known as the Forest Man of India, one who stood up for the land that belonged to the elephants and wanted to stop it from being encroached. And knowing that Rana was part of it, I was very keen to act in it,” she explains.
She was also quite drawn to the fact that this was going to be trilingual, to be made in Tamil, Hindi and Telugu. “I’ve always wanted to explore different film industries.” My first film was a Marathi film; then, I did films in French and Hindi. Our country has so many cultures and is so diverse that the stories coming out of its different film industries are also diverse. Growing up, I’ve watched a lot of films made down south. The first few films that I saw were Mani Ratnam sir’s and Kamal Haasan sir’s films. Whether it is Mahanati or Super Deluxe, these films have travelled the world, so many people are exposed to south films now,” she states.

She says she didn’t find the prospect of acting in two languages that she doesn’t speak daunting. “I knew it would be challenging and I had no idea how I’d be approaching it, too, but I trusted the team and the director to guide me,” says Shriya. That director was Prabu Solomon, who did Kumki, so, Shriya knew she’d be in the right hands.

Interestingly, while she is making her debut in languages unfamiliar to her, the director is making his debut in Hindi. But Shriya feels that never came in the way of work. “I don’t think Prabu sir is the kind of person who thinks about all these things. He is so focussed, a really passionate person, who genuinely believes in the heart of the film. He is trying to communicate an important message, and he never thought about anything else other than trying to be true to his story. I don’t think he ever thought, ‘This is my first Hindi film. How am I going to handle it?’ To him, he was just making a film,” she says.

She remarks that the director was “very particular and very authentic” in the way he approached scenes. “For him, there are no shortcuts. So, we would actually shoot every scene thrice — first in Tamil, then in Telugu, and then in Hindi. And with all three languages, Prabu sir had a different way of guiding and directing the actors, especially Rana,” she states and elaborates, “The storytelling style in these languages is different, right? Prabu sir has a good understanding of that, which is why with certain scenes, he would tell us in what direction we had to take that scene — whether to up it or keep it subtle, how much to emote and how much not to emote. Even though the language of cinema is universal, I found it fascinating to observe how different cultures have a different approach to the same character.”

And for her, the challenge was that the actors would get most of the dialogues on the day they were shooting as the director likes to improvise a lot. Talking about her process when it came to reading her lines in Tamil and Telugu, Shriya says, “We had a writer each from Tamil, Telugu, and Hindi during the shoot. I would sit with them and try and understand the meaning of the words. But I also didn’t want the process involved in learning the language come in the way of learning the emotions. For me, it was very important to understand what I was saying so that I’d be able to emote properly. Since it was my first time, it was not easy, but now, I know I have the confidence to do it.” She informs that she actually spoke the dialogues — and not gibberish — while shooting the scenes even though she has not dubbed for herself.

Shriya plays a journalist, who “supports Rana’s journey”, in the film, “someone who does not want to succumb to pressure, and wants to stand by justice and fights for the truth — even if it is not easy to do that”. Shriya calls shooting for the film a unique experience. “We shot some of my portions in Kerala, in a forest that was far away from the city. There was no network, so the cast would sit and chat together instead of being on our phones. The environment was so perfect, especially given the film we were making. There is no typical hero-heroine in the film; in fact, you could say that the elephants are the heroes,” she states.

Wrapping up, Shriya says she is not bothered about the fact that she wouldn’t be seen throughout the film. “I am not an actress who is insecure about my screen time. I feel you should be able to create an impact, be it in five minutes or three hours. For me, it is important to be part of stories that are engaging, where my character is not a wallflower. In that sense, I feel like I’ve got the right roles so far, and I’ve just started out. Whether it is Beecham House, Fan or the action series that I recently did, I want to explore my versatility and the only way I can do that is by not being rigid about screen time,” she signs off.

Box

Rana is an absolute team player: Shriya


Shriya is all praise for Rana and states that the actor has done a fantastic job. “Coming from Bahubali, which was a success in India and abroad, the way he had physically transformed himself to play a part like this was something so inspiring to me as an actor,” she says and adds, “Rana is an absolute team player who likes to collaborate with his co-stars. What I love about him is that he is not just an actor. He also produces and

runs other companies. He is genuinely

interested in the art of storytelling. He is

absolutely invested in the character that he plays.”


Picture Credit: Colston Julian"
"  Nov 1, 2020, 00:00 IST",,,-,
"  Nov 1, 2020, 00:00 IST",,,-,
"  Nov 1, 2020, 00:00 IST",Sunayana Suresh,Entertainment,Diganth and Aindrita Ray’s new film to kickstart this month,"It was in the beginning of this year when Bangalore Times was the first to tell you that actors and real-life couple Diganth Manchale and Aindrita Ray would be reuniting on screen after eight years for a film. This film, titled Kshamisi Nimma Khaateyalli Hanavilla, is being directed by debutant filmmaker Vinayak Kodasara and also stars television actress Ranjani Raghavan. The new team is scheduled to begin shoot in Sagara from November 18.
“We are going to Sagara with a skeletal team of just 25 to 30 members and will be shooting with bare minimum people on the set. We are going to have the rest of actors coming in just for the days they have work. We have taken the necessary permissions and will be shooting with all the precautions and protocols in place,"" says Vinayak.
Incidentally, both Diganth and Vinayak hail from the same region and are excited to bring in the local nativity on screen. ""Diganth plays an areca nut farmer in the film. This is a simple story that deals with the lives of people there and is an out-and-out comedy. Most of this film is going to be shot in the Malnad regions. Only Aindrita's character is the one that is not from there, she hails from Bengaluru. So,we have a few scenes with her in Bengaluru that will be shot too,"" adds Vinayak.
While Prajwal Pai fills in as composer, Nandakishore Neelakanta Rao of Godhi Banna Sadharana Mykattu fame will be the cinematographer. The team will also include an ensemble cast featuring prominent comic actors."
"  Nov 1, 2020, 00:00 IST",Vinay Lokesh,Entertainment,Kiran Raj teams up with Milana Nagaraj for a film helmed by Ashwin G Rao,"Kiran Raj, it would seem is on quite a signing spree. The actor, who is still seen in the serial Kannadathi, has been working on his Telugu film debut, along with a few new Kannada projects. “I recently began working on Chathushpatha, directed by Ashwin G Rao, in which I am paired with Milana Nagaraj and Shilpa. In the film, I play a normal middle-class career-oriented guy who lives by a set of values and leads a respectable life. His life changes when he meets the two girls in the tale,” says the actor, who has already shot a song from the film at Nandi Hills.

The actor has also signed two new movies, Bahaddur Gandu and Buddies. “ Buddies is about friendship, which promises to be a lot of fun, but also looks at how we should not take relationships for granted. Even when you supposedly have many friends, in your time of need, you may be all alone. This is a message that the film conveys. Bahaddur Gandu, meanwhile, will be the first out-and-out action film in my career. Though we have used the title of a famous Dr Rajkumar film, there is no other similarity between the movies. But, yes, my character will be similar to Panju from Bahaddur Gandu – someone who cannot tolerate injustice. Considering that it is an action flick, I have been working out to get a more toned, chiseled look. I am also looking at signing a comedy, tentatively titled Chicken Puliyogare, which is a cute love between a non-veg loving guy and a hardcore vegetarian girl,"" he explains.


As for his Telugu debut Vikram Goud in which he plays a cop, Kiran says that it will get a Kannada release."
"  Nov 1, 2020, 00:00 IST",Sunayana Suresh,Entertainment,Khushbu says she would love to act with Ravichandran again,"Actress Khushbu was in Bengaluru over the last week to campaign for the elections. While here, she also shared her fondness for the Kannada film industry, V Ravichandran in particular. The actress, who had debuted on the Kannada screen with the memorable superhit Ranadheera, says, ""I never thought I would receive so much of love for my very first film in Kannada. I was part of the Kannada film industry much before I began working in the Tamil film industry. My memories of Bengaluru will always be that of a beautiful Garden City. I still recalling going to MG Road for ice cream. Apart from that, one of my most long-lasting treasures from here is being friends with Ravichandran sir and his family, even after so many years.” Would that open doors for another possible onscreen outing starring the duo? “Someone has to come up with a really interesting subject which will suit Ravi sir and me right now. I would love to do something with him. But, of course, people remember us as such a wonderful pair that for us to do another film it has to leave a lasting impact and it should not be something that would disappoint those expectations. We will wait till we get something extraordinary to do,"" she explains, adding, ""I did make an appearance on television with him when we were celebrating 30 years of Ranadheera. It was amazing that people still loved and respected what we did three decades ago. It makes it very special."""
,,,-,
"  Nov 1, 2020, 00:00 IST",Sruthi Raman,Entertainment,Celebrating Tamil cinema’s golden era one reel at a time,"With uncertainty looming large over the big-screen experience, an interesting culture has come to the fore — a culture of re-watching and rediscovering cult cinema clas sics on the internet. Breaking down and celebrating such cinematic gems through quizzes, crossover trivia and videos is the popular film collective, Retro Ticket.

A product of the lockdown, the social media collective is the brainchild of seven friends from different parts of the country — Sriram Raja, Kaushik Ranganathan, Ashwath Ram, Harish Jayesh, Girish Kalyanaraman, Hariharan Balasubramanian and Karthik Ranganathan. A few months into the initial lockdown in July, the group realised that there was a lack of content that analysed vintage films, or what they call “Tamil cinema’s golden era”.


“While OTT platforms have caused a surge in the number of old movies being available online, there was a lack of content that analysed these old movies, at least in a video format,” says Karthik. Classics from the 60s, 70s and 80s like Karakattakaran, Pesum Padam, Agni Natchathiram and Pushpak have gotten hawk-eyed breakdowns from the team. The idea of the collective is to become a reliable destination for people to revisit Tamil classics, adds Sriram. “We should be able to add a unique perspective to every movie we pick and have fun while making the video so that people go back and watch the movie again,” he adds.



Analytical videos apart, Retro Ticket also keeps fans engaged with cinema trivia and crossover posts. “Right from the beginning of the lockdown, we started organising regular quizzes among friends and families, which were a big hit. So, we decided to do them on Instagram, where it would reach out to a much larger audience,” explains Ashwath.

The response from film lovers has been overwhelming, to say the least, the team exclaims. “One person even said our work made them relive the time when they watched the movie in the theatre with their now-departed loved one.

Honestly, it can’t get better than this,” Kaushik recalls. Retro-movie-watching has increased due to the unavailability of new content, the team observes, adding, “As the retro era did not have the kind of wall-to-wall exposure that is available today, people don’t realise some of the great content that came out back then.”


Stylised contemporary versions of retro content are always a hit across age-groups, the collective points out. “For instance, Petta’s references to Rajini’s movies from an earlier period resonated very well with the audience, while Venkat Prabhu movies have been very successful in using iconic Ilaiyaraaja music theme pieces to heighten the impact of the content on the screen,” Harish notes, adding, “Aged wine in a new bottle is always cool and when social media provides so many interesting ways to engage with this content, retro content is pop-culture gold-dust!”"
"  Nov 1, 2020, 00:00 IST",Joyeeta Chakravorty,Lifestyle,These easy food substitutes can help you turn vegan with ease,"The biggest challenge one faces in their journey to turn vegan is about figuring out what kind of food can be consumed when one has stopped consuming some kinds of food. Often, the hinderance to make this lifestyle choice is the thought that there would be fewer food options or substitutes for regular items that offer the required nutrition that your body needs. On the contrary, nutritionists and health coaches tell us that the choices of food available in the local markets for vegans are plenty. Here are few suggestions on food substitutes that could help you make that transition with ease.


Replace meat with tofu, soya chunks and jackfruits
One of the easy substitutes for former non-vegetarians who are now vegan beginners are mock meat made up of tofu, soya chunks and jackfruit. Tofu, which is a good source of 'complete' protein along with fibre, potassium, magnesium, iron, copper and manganese, makes it a great substitute for meat. Soya chunks are also full of polyunsaturated fats and rich in protein and omega 3 fatty acids. Jackfruit is also a source of good fibre and makes for a good substitute for meat.
Replace mayonnaise with hummus or tahini
Mayonnaise, which is a mix of oil, egg yolk, and an acid, either vinegar or lemon juice. This can be replaced with hummus, which is mashed chickpeas with herb seasonings, or Tahini, which is a paste of sesame seeds.

Replace honey with jaggery
Honey can be replaced with jaggery or stevia, especially for the ones who are more health conscious.

Replace flour with millets
Millet is a whole grain that’s packed with protein, antioxidants, and nutrients and makes for a great substitute for plain flour.

Replace eggs with Amaranth grain (Rajgira meal)
A great source of proteins and fibre, Amarnath grain helps in maintaining a healthy level of triglyceride in your body, that eggs offer.


Replace lactose based fats and butter with coconut butter or coconut oil

Coconut oil is also a medium chain of triglycerides which makes it a better option as it is easy to break down and absorb. Besides, coconut butter is high in amino acids, calcium, and magnesium and is an ideal option for vegan weight watchers as it makes you feel satiated for a prolonged period while attending to your protein requirement.


Replace cheese with nut butters
Peanut, almond, cashew and walnut butter can be another vegan friendly option for people who enjoy their bread with cheese spreads on toasts and sandwiches.



- Inputs from nutrition and wellness consultant Sheela Krishnaswamy and holistic nutritionist and health coach Pooja Bhargava."
